,junct,Unnamed: 0,y,x,1517_masked,1517_all,seward2_hsp_elev,seward_hsp__dinf_area,slope_15m,aspect_15m,1519_all,1519_masked,aspect_40m,seward_hsp__tan_curv_LW,slope_40m,Outlet Elev,1519_all_zscore,1519_masked_zscore,1517_all_zscore,1517_masked_zscore,Area,area_km2,max_disp_zone
0,114,6955029.3176722815,7229654.798946206,444867.3840375911,0.005224609162324,0.005224609162324,201.1782318930781,1124.6647735940553,0.138576377494466,87.40943404609494,0.013910661058166,0.013910661058166,92.89796051081164,0.000453726490858,0.137614583807198,95.32789,-0.304140948928057,-0.264715796266044,-0.893905800428812,-0.907944342422755,130600.0,0.1306,fluvial
1,14,5298050.281728861,7229928.244643308,446985.28091660456,-0.001453369438458,-0.001453369438458,180.28771426681172,1131.0166647198505,0.14284911620898,296.71721756480616,0.002222603232403,0.002222603232403,297.95668471174486,0.000211346078575,0.140273595121044,80.51333,-0.760843453652131,-0.806881393964955,-1.04327197642058,-1.046188328157445,502612.0,0.502612,hillslopes
2,144,8401913.283319501,7229416.1014064755,443950.2510208729,-0.003940611618583,-0.003940611618583,174.36130773155188,1408.250430326586,0.114674286998878,254.14602129244813,0.00223863810899,0.002139228569133,255.6998882326971,7.6981002965e-05,0.111605659538755,82.99372,-0.526637517934727,-0.575716928068721,-0.97280149938983,-0.975965955563246,120500.0,0.1205,fluvial
3,18,6704285.768000579,7229696.290167395,446544.3240591286,0.00210668445688,0.00210668445688,170.95054522316974,873.6502697134607,0.144911727471215,292.60902186626134,0.006401322667221,0.006401322667221,292.29628153937,4.1436144887e-05,0.143803408065607,77.06789,-0.373946496195752,-0.423848963959888,-0.737840328783013,-0.740347347570085,331696.0,0.331696,indeterminate
4,249,19588183.903758943,7227571.364372316,445365.4786435747,0.005729682130068,0.005729682130068,159.78538619353083,3409.966324516105,0.107000956055891,156.38740695800348,0.013537237733779,0.012504234673101,156.70293455721134,1.2709902432e-05,0.103870064892701,48.516735,-0.022953800415968,-0.076741799587952,-0.459306641381589,-0.458743182755949,4821044.0,4.821044,watertracks
5,140,10142454.303988324,7229129.223449659,446063.3100412246,0.003387607744348,0.003387607744348,167.31334983293362,1861.3716499023908,0.14734640431436,211.7120434554438,0.006343476715039,0.006343476715039,211.91420638463518,4.5976485165e-05,0.144449666383973,75.36643,-0.415770221328022,-0.436627813076123,-0.526419822923881,-0.521385359267974,1099104.0,1.099104,indeterminate
6,133,9864094.523566851,7229175.053451718,445124.1841738723,0.003186523646636,0.003186523646636,193.0199732484142,1397.5670541561576,0.13342582264217,94.93207738173498,0.012412149184677,0.012412149184677,93.68395000765271,0.000137852939421,0.130853765881079,78.31694,-0.213374998690267,-0.235585905755322,-0.962443428482885,-0.975211829612893,740956.0,0.740956,watertracks
7,257,16417787.235119877,7228094.091736978,443686.89262965706,-0.001076560447155,-0.001076560447155,186.57093550285148,1775.0458625819738,0.090118774810165,293.05581420111366,0.007379650293688,0.007392716158091,292.49945710538464,0.000137939399502,0.087998175830508,95.05064,0.029459531144415,0.015575349539441,-0.713327637270965,-0.715080798709686,415888.0,0.415888,fluvial
8,154,11206620.467817994,7228953.55961505,444120.3154073146,-0.004316981799511,-0.004316981799511,195.33309412524676,1875.1151075068851,0.10306672052469,279.83599671745344,0.004837116115514,0.004835355158359,281.53900887834425,0.00010106212325,0.101405319557937,83.02121,-0.241095977618456,-0.2638867737851,-1.155113213714193,-1.158017719535372,1027220.0,1.02722,watertracks
9,250,13022339.523359092,7228654.344118101,446972.0949754621,0.001716823517543,0.001716823517543,198.53093373121987,948.9330343513813,0.095746246230342,126.33542740199718,0.010943283870567,0.010943283870567,126.57584749846949,7.5385278287e-05,0.095442924476754,119.45995000000002,-0.543966434538445,-0.558040622606729,-1.173740126599699,-1.181821604102373,318848.0,0.318848,watertracks
10,217,14429502.589195382,7228422.017590137,443874.4220420267,-0.000413427966874,-0.000413427966874,190.0710919730679,1242.167795770709,0.091207009344566,289.515397693504,0.009320934165909,0.009356366433727,289.1956494217246,1.763895546e-05,0.090069390099175,91.2961,0.297906950760829,0.294198392795044,-0.577011806851363,-0.578162937094388,478388.0,0.478388,fluvial
11,306,16884145.511177566,7228017.569557807,448418.97793106403,0.000696707636233,0.000696707636233,207.70726446589262,1845.4779464400606,0.116603207665972,246.14933944505702,0.003415304958991,0.003415304958991,245.87784816122968,7.065451897e-05,0.114984798066553,104.20298,-0.404759224449754,-0.42971155265496,-0.244106473600609,-0.246793856352287,821288.0,0.821288,hillslopes
12,411,24240620.054287508,7226804.317517349,448260.56951676105,0.002335845982028,0.002335845982028,173.0981134060176,2176.2225229994174,0.100639657767562,274.33799356323584,0.007307235977299,0.007307235977299,273.5978636052647,7.5632536699e-05,0.098963371075754,84.812416,-0.048224989751439,-0.07199247845541,-0.248495068458942,-0.250645615812841,1355884.0,1.355884,hillslopes
13,400,21670173.94475994,7227227.385522602,437914.0501748474,0.001617247023484,0.001617247023484,261.54457873392823,1622.2306474035756,0.099267371847143,173.69970621937335,0.008683117136731,0.008683117136731,172.89567029661112,-0.000281255165792,0.095396352255343,205.23544,-0.296151856322861,-0.34099782027187,-1.000042095915173,-1.007694497041296,325988.0,0.325988,indeterminate
14,366,24932631.728882007,7226689.7069787495,442401.91711114446,0.005918386652034,0.005918386652034,178.39243538001998,2559.3529780619738,0.090437783182144,199.94137702957536,0.014314286111929,0.013884334995218,201.70478306270837,-1.2973151472e-05,0.08821932921571,109.38047000000002,0.305034642643904,0.30720005463028,-0.269672732857647,-0.266191388313942,2559472.0,2.559472,indeterminate
