,dInf_min,dInf_max,dInf_mean,dInf_count,slope_min,slope_max,slope_mean,slope_count,area (m2),bin_dinf,bin_slope
377,432.0,883.0,657.5,2,14.701860427856445,14.701860427856445,14.701860427856445,1,0.9687027263546788,25,16
378,1306.0,1385.0,1352.75,4,12.201299667358398,12.201299667358398,12.201299667358398,1,1.1405494429427716,27,11
379,993.0,1306.0,1149.5,2,12.201299667358398,12.201299667358398,12.201299667358398,1,0.7449062724765395,27,11
380,339.0,580.0,459.5,2,12.076093673706055,12.076093673706055,12.076093673706055,1,0.3411701339742267,22,10
381,466.0,541.0,503.5,2,13.776089668273926,13.776089668273926,13.776089668273926,1,0.8376369798461903,22,14
382,408.0,408.0,408.0,1,13.776089668273926,13.776089668273926,13.776089668273926,1,0.03677886427785325,20,14
383,922.0,922.0,922.0,1,13.776089668273926,13.776089668273926,13.776089668273926,1,0.06287500960822245,25,14
384,694.0,1029.0,850.75,4,13.776089668273926,13.776089668273926,13.776089668273926,1,1.0664472792830908,26,14
385,758.0,816.0,787.0,2,13.776089668273926,13.776089668273926,13.776089668273926,1,0.2702462977044976,24,14
386,1029.0,1029.0,1029.0,1,13.776089668273926,13.776089668273926,13.776089668273926,1,0.1740797572241707,26,14
387,541.0,541.0,541.0,1,13.776089668273926,13.776089668273926,13.776089668273926,1,0.04664492944269759,22,14
388,541.0,816.0,681.75,4,13.776089668273926,13.776089668273926,13.776089668273926,1,0.16931226266263885,24,14
389,612.0,612.0,612.0,1,13.776089668273926,13.776089668273926,13.776089668273926,1,0.05459075292477558,23,14
390,816.0,1164.0,990.0,2,13.776089668273926,13.776089668273926,13.776089668273926,1,0.2310248291447584,26,14
391,660.0,873.0,766.5,2,13.776089668273926,13.776089668273926,13.776089668273926,1,1.298943556086155,25,14
392,1029.0,1420.0,1266.3333333333333,3,13.776089668273926,13.776089668273926,13.776089668273926,1,0.3632308305812166,27,14
393,873.0,884.0,878.5,2,12.347810745239258,13.776089668273926,13.06195068359375,2,0.16200651983235856,25,14
394,884.0,1284.0,1084.0,2,12.347810745239258,12.347810745239258,12.347810745239258,1,0.08271749759375427,27,11
395,780.0,877.0,829.75,4,12.347810745239258,12.347810745239258,12.347810745239258,1,0.16787760108215674,25,11
396,491.0,593.0,542.0,2,13.897117614746094,13.897117614746094,13.897117614746094,1,0.022060697100218584,23,14
397,593.0,593.0,593.0,1,13.897117614746094,13.897117614746094,13.897117614746094,1,0.023057603616514415,23,14
